Code,Name,Freq_Score,3Y,5Y,10Y,15Y,20Y,Avg_Return,Std_Dev,Risk_Grade
120338,LIC MF Banking & PSU Fund-Direct Plan-Growth,0,7.8,6.02,7.32,-100.0,-100,7.05,0.93,Low
148419,Mirae Asset Banking and PSU Fund - Direct Plan - Growth,0,7.55,5.91,-100.0,-100.0,-100,6.73,0.98,Low
151107,HSBC Banking and PSU Debt Fund - Direct Growth,0,7.49,-100.0,-100.0,-100.0,-100,7.49,0.0,Low
119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,0,7.73,6.23,7.79,-100.0,-100,7.25,0.87,Low
134552,Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option,0,7.75,6.23,7.69,-100.0,-100,7.22,0.96,Low
120444,Invesco India Banking and PSU Fund - Direct Plan -  Growth Option,0,7.69,5.62,6.88,-100.0,-100,6.73,1.03,Low
150505,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,0,7.19,-100.0,-100.0,-100.0,-100,7.19,0.72,Low
134547,Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option,0,7.75,6.23,7.69,-100.0,-100,7.22,0.96,Low
148534,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,0,7.53,6.32,-100.0,-100.0,-100,6.93,0.73,Low
140286,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,0,7.66,6.18,-100.0,-100.0,-100,6.92,1.29,Low
124175,DSP Banking & PSU Debt Fund - Direct Plan - Growth,0,7.67,5.96,7.45,-100.0,-100,7.03,1.11,Low
120256,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,0,7.99,6.67,7.85,-100.0,-100,7.5,0.77,Low
148656,TRUSTMF BANKING & PSU FUND - DIRECT GROWTH,0,7.63,-100.0,-100.0,-100.0,-100,7.63,0.68,Low
